year,district_id,province,district,variable,value
2017,101,Aceh,Kabupaten Aceh Barat,belanja_pegawai,2.17617E+11
2017,101,Aceh,Kabupaten Aceh Barat,belanja_barang_jasa,41543183641
2017,101,Aceh,Kabupaten Aceh Barat,belanja_modal,48442651306
2017,101,Aceh,Kabupaten Aceh Barat,belanja_lainnya,3139200000
2018,101,Aceh,Kabupaten Aceh Barat,belanja_pegawai,2.16079E+11
2018,101,Aceh,Kabupaten Aceh Barat,belanja_barang_jasa,33118520432
2018,101,Aceh,Kabupaten Aceh Barat,belanja_modal,12342789453
2018,101,Aceh,Kabupaten Aceh Barat,belanja_lainnya,3048600000
2017,102,Aceh,Kabupaten Aceh Besar,belanja_pegawai,3.0765E+11
2017,102,Aceh,Kabupaten Aceh Besar,belanja_barang_jasa,18428785476
2017,102,Aceh,Kabupaten Aceh Besar,belanja_modal,44918694973
2017,102,Aceh,Kabupaten Aceh Besar,belanja_lainnya,18768103800
2018,102,Aceh,Kabupaten Aceh Besar,belanja_pegawai,3.02409E+11
2018,102,Aceh,Kabupaten Aceh Besar,belanja_barang_jasa,83147411523
2018,102,Aceh,Kabupaten Aceh Besar,belanja_modal,1.2079E+11
2018,102,Aceh,Kabupaten Aceh Besar,belanja_lainnya,13650444000
2017,103,Aceh,Kabupaten Aceh Selatan,belanja_pegawai,3.19109E+11
2017,103,Aceh,Kabupaten Aceh Selatan,belanja_barang_jasa,49665233275
2017,103,Aceh,Kabupaten Aceh Selatan,belanja_modal,41601600756
2017,103,Aceh,Kabupaten Aceh Selatan,belanja_lainnya,0
2018,103,Aceh,Kabupaten Aceh Selatan,belanja_pegawai,3.01946E+11
2018,103,Aceh,Kabupaten Aceh Selatan,belanja_barang_jasa,28825228674
2018,103,Aceh,Kabupaten Aceh Selatan,belanja_modal,12925403315
2018,103,Aceh,Kabupaten Aceh Selatan,belanja_lainnya,9480382500
2017,104,Aceh,Kabupaten Aceh Singkil,belanja_pegawai,1.05728E+11
2017,104,Aceh,Kabupaten Aceh Singkil,belanja_barang_jasa,29542584570
2017,104,Aceh,Kabupaten Aceh Singkil,belanja_modal,38914644600
2017,104,Aceh,Kabupaten Aceh Singkil,belanja_lainnya,15345316938
2018,104,Aceh,Kabupaten Aceh Singkil,belanja_pegawai,1.00949E+11
2018,104,Aceh,Kabupaten Aceh Singkil,belanja_barang_jasa,26809855855
2018,104,Aceh,Kabupaten Aceh Singkil,belanja_modal,19380227762
2018,104,Aceh,Kabupaten Aceh Singkil,belanja_lainnya,0
2017,105,Aceh,Kabupaten Aceh Tengah,belanja_pegawai,2.50483E+11
2017,105,Aceh,Kabupaten Aceh Tengah,belanja_barang_jasa,37944976546
2017,105,Aceh,Kabupaten Aceh Tengah,belanja_modal,42382542896
2017,105,Aceh,Kabupaten Aceh Tengah,belanja_lainnya,8604395175
2018,105,Aceh,Kabupaten Aceh Tengah,belanja_pegawai,2.30008E+11
2018,105,Aceh,Kabupaten Aceh Tengah,belanja_barang_jasa,38272191361
2018,105,Aceh,Kabupaten Aceh Tengah,belanja_modal,14207686545
2018,105,Aceh,Kabupaten Aceh Tengah,belanja_lainnya,3609600000
2017,106,Aceh,Kabupaten Aceh Tenggara,belanja_pegawai,1.90839E+11
2017,106,Aceh,Kabupaten Aceh Tenggara,belanja_barang_jasa,34110362402
2017,106,Aceh,Kabupaten Aceh Tenggara,belanja_modal,38998770450
2017,106,Aceh,Kabupaten Aceh Tenggara,belanja_lainnya,0
2018,106,Aceh,Kabupaten Aceh Tenggara,belanja_pegawai,2.2681E+11
2018,106,Aceh,Kabupaten Aceh Tenggara,belanja_barang_jasa,32488727844
2018,106,Aceh,Kabupaten Aceh Tenggara,belanja_modal,12441100329
2018,106,Aceh,Kabupaten Aceh Tenggara,belanja_lainnya,0
2017,107,Aceh,Kabupaten Aceh Timur,belanja_pegawai,3.55332E+11
2017,107,Aceh,Kabupaten Aceh Timur,belanja_barang_jasa,50798457792
2017,107,Aceh,Kabupaten Aceh Timur,belanja_modal,44952831053
2017,107,Aceh,Kabupaten Aceh Timur,belanja_lainnya,9118788000
2018,107,Aceh,Kabupaten Aceh Timur,belanja_pegawai,3.37167E+11
2018,107,Aceh,Kabupaten Aceh Timur,belanja_barang_jasa,34866566404
2018,107,Aceh,Kabupaten Aceh Timur,belanja_modal,20505951495
2018,107,Aceh,Kabupaten Aceh Timur,belanja_lainnya,10065126801
2017,108,Aceh,Kabupaten Aceh Utara,belanja_pegawai,5.15369E+11
2017,108,Aceh,Kabupaten Aceh Utara,belanja_barang_jasa,43470447041
2017,108,Aceh,Kabupaten Aceh Utara,belanja_modal,60182462050
2017,108,Aceh,Kabupaten Aceh Utara,belanja_lainnya,9736600000
2018,108,Aceh,Kabupaten Aceh Utara,belanja_pegawai,4.9118E+11
2018,108,Aceh,Kabupaten Aceh Utara,belanja_barang_jasa,79942887253
2018,108,Aceh,Kabupaten Aceh Utara,belanja_modal,63744732222
2018,108,Aceh,Kabupaten Aceh Utara,belanja_lainnya,9950200000
2017,109,Aceh,Kabupaten Bireuen,belanja_pegawai,3.84816E+11
2017,109,Aceh,Kabupaten Bireuen,belanja_barang_jasa,66856609568
2017,109,Aceh,Kabupaten Bireuen,belanja_modal,27111202958
2017,109,Aceh,Kabupaten Bireuen,belanja_lainnya,0
2018,109,Aceh,Kabupaten Bireuen,belanja_pegawai,3.67514E+11
2018,109,Aceh,Kabupaten Bireuen,belanja_barang_jasa,49671815007
2018,109,Aceh,Kabupaten Bireuen,belanja_modal,14001587023
2018,109,Aceh,Kabupaten Bireuen,belanja_lainnya,3921462500
2017,110,Aceh,Kabupaten Pidie,belanja_pegawai,3.63948E+11
2017,110,Aceh,Kabupaten Pidie,belanja_barang_jasa,32727889512
2017,110,Aceh,Kabupaten Pidie,belanja_modal,59045605672
2017,110,Aceh,Kabupaten Pidie,belanja_lainnya,2522200000
2018,110,Aceh,Kabupaten Pidie,belanja_pegawai,3.53893E+11
2018,110,Aceh,Kabupaten Pidie,belanja_barang_jasa,48309406285
2018,110,Aceh,Kabupaten Pidie,belanja_modal,20127993421
2018,110,Aceh,Kabupaten Pidie,belanja_lainnya,12701918150
2017,111,Aceh,Kabupaten Simeulue,belanja_pegawai,1.14753E+11
2017,111,Aceh,Kabupaten Simeulue,belanja_barang_jasa,43516986090
2017,111,Aceh,Kabupaten Simeulue,belanja_modal,22351962173
2017,111,Aceh,Kabupaten Simeulue,belanja_lainnya,4633269163
2018,111,Aceh,Kabupaten Simeulue,belanja_pegawai,1.14248E+11
2018,111,Aceh,Kabupaten Simeulue,belanja_barang_jasa,38838792995
2018,111,Aceh,Kabupaten Simeulue,belanja_modal,5746293873
2018,111,Aceh,Kabupaten Simeulue,belanja_lainnya,7096859774
2017,112,Aceh,Kota Banda Aceh,belanja_pegawai,2.33394E+11
2017,112,Aceh,Kota Banda Aceh,belanja_barang_jasa,35046404061
2017,112,Aceh,Kota Banda Aceh,belanja_modal,35378890215
2017,112,Aceh,Kota Banda Aceh,belanja_lainnya,9333244340
2018,112,Aceh,Kota Banda Aceh,belanja_pegawai,2.33184E+11
2018,112,Aceh,Kota Banda Aceh,belanja_barang_jasa,41378350887
